,SnackId,UserId,UserName,Score,Time
15478,B000255OIG,AU2LNDRGFOS8J,"Janice Garner ""jg""",5,1309046400
15479,B000255OIG,A3RRSB7FFM07ZU,Mercy,5,1308787200
15480,B000255OIG,AFH6TT0SWN59L,"W. Gates ""RoeWill""",5,1308787200
15481,B000255OIG,ALAA0P3GK1VBR,M. Kresge,5,1308528000
15482,B000255OIG,A3EKHSRZKXRIFK,Rosebud,5,1307318400
15483,B000255OIG,A12MGOJOF9FY8P,"R. Avolio ""Goose""",5,1307059200
15484,B000255OIG,A2KJO9EPX17ZXE,Musical E,5,1305849600
15485,B000255OIG,A3XT9UO2Z8IKZ,K. Bonnar,5,1305331200
15486,B000255OIG,A1FZ2I81RT0AUX,August Luna,5,1304553600
15487,B000255OIG,A3HU1E3N2G9PF0,"M. Collins ""askdoglady.com""",5,1303948800
15488,B000255OIG,A3W35OAAB4XNX9,Maryann Aniela Royster,5,1303862400
15489,B000255OIG,A2Z7T96L8XQKOG,S. Zmek,5,1303516800
15490,B000255OIG,A2G1LRD120SJPC,K. Hill,5,1303171200
15491,B000255OIG,A2QXPFTACXWV1I,Ellie at Round Pond,5,1302825600
15492,B000255OIG,A18UVHCREY2RE2,Rob R.,5,1300492800
15493,B000255OIG,A2EUY9REPJ0XR4,canoble,5,1299628800
15494,B000255OIG,A2H3SATAEPFUDW,C.J.,5,1298592000
15495,B000255OIG,A4Z0JCSDTQZ88,"J. Jarrett ""PhD. Doctoral Student""",5,1298505600
15496,B000255OIG,AF44MU313L704,"H. Ernst ""her_nst""",5,1298332800
15497,B000255OIG,AYS3F0L3VFP6G,Regan,5,1297900800
15498,B000255OIG,AFDTV642ZGJ8S,Amanda R Dodge,5,1297728000
15499,B000255OIG,A32TR272T1PFE1,Mr. Gibbs,5,1296864000
15500,B000255OIG,A3JDAZ5YVHY15U,Shadow and Blue,5,1296086400
15501,B000255OIG,AS8WFSJTEPKX0,"Mr. David S. Lee ""CaliforniaLee""",5,1291507200
15502,B000255OIG,A371B3Z09W4GT5,Stardreamers,5,1287532800
15503,B000255OIG,A21N1PT1A908KW,"Olechkin ""Olechkin""",5,1285545600
15504,B000255OIG,A29JUMRL1US6YP,HTBK,5,1278288000
15505,B000255OIG,A24CFW43ZERCSU,"D. E. Russo ""D Russo  Animal lover""",5,1276646400
15506,B000255OIG,A296N1BPL2LBAA,M. Israelson,5,1276560000
15507,B000255OIG,A3CEN1KNU51AD0,"Donald W. Perreault ""DonPerreaultJr""",5,1274572800
15508,B000255OIG,A3G8C334EDZPP7,Anna,5,1274400000
15509,B000255OIG,AQHATKEPH80P0,Marie Stevens,5,1271203200
15510,B000255OIG,A1WKFVJCSW1OW6,R. Chan,5,1270425600
15511,B000255OIG,A38H80FBUIF8I3,"Bryan Kelly ""bk""",5,1269302400
15512,B000255OIG,A13LAE0YTXA11B,"Dita Vyslouzilova ""dita""",5,1269216000
15513,B000255OIG,A13MS1JQG2ADOJ,C. Perrone,5,1265760000
15514,B000255OIG,ADXXVGRCGQQUO,Richard Pearlstein,5,1264377600
15515,B000255OIG,AZ40270J4JBZN,"Zhinka Chunmee ""gamer from way back in the 70's""",5,1264291200
15516,B000255OIG,A2ZO1AYFVQYG44,"Cindy Rellie ""Rellie""",5,1254960000
15517,B000255OIG,A2SWO60IW01VPX,Sam,5,1252022400
15518,B000255OIG,A1V5MY8V9AWUQB,"Cheryl Sapper ""champagne girl""",5,1244764800
15519,B000255OIG,A1L8DNQYY69L2Z,R. Flores,5,1243728000
15520,B000255OIG,A38AN6ZRMHV6EU,Carole S. Stabile,5,1243382400
15521,B000255OIG,A5F2CS558RBDA,Michael W. Riley,5,1242259200
15522,B000255OIG,A3TFTWTG2CC1GA,J. Umphress,5,1240272000
15523,B000255OIG,A16QUDK9MXGT58,Sharon Mesker,5,1236643200
15524,B000255OIG,AN6G00SYXBOV3,J. Beranek,5,1235433600
15525,B000255OIG,A25THJL7YWYDNF,S. Rosenberg,5,1235260800
15526,B000255OIG,AJD41FBJD9010,"N. Ferguson ""Two, Daisy, Hannah, and Kitten""",5,1233360000
15527,B000255OIG,AJD41FBJD9010,"N. Ferguson ""Two, Daisy, Hannah, and Kitten""",5,1233360000
15528,B000255OIG,AJD41FBJD9010,"N. Ferguson ""Two, Daisy, Hannah, and Kitten""",5,1233360000
15529,B000255OIG,A2GD3MQQZC4UT7,"Betsy T. ""sunnymom""",5,1233014400
15530,B000255OIG,A9WRBX9150HCU,LEI E,5,1232323200
15531,B000255OIG,A1K5FEDJ9WI5KV,Polar Bear Lover,5,1232236800
15532,B000255OIG,A223KNNTFHHIM7,Silkworm,5,1232150400
15533,B000255OIG,A16GY2RCF410DT,LB,5,1231718400
15534,B000255OIG,A74C7IARQEM1R,stucker,5,1230076800
15535,B000255OIG,AFXMWPNS1BLU4,H. Sandler,5,1229385600
15536,B000255OIG,AXLTYZSZ49Y70,Valarine Thomas,5,1223769600
15537,B000255OIG,A39FLPUWTNESK0,Roy Levow,5,1222732800
15538,B000255OIG,A28UDMHG53LMJ1,MikeC,4,1222214400
15539,B000255OIG,A1DIS7PF5AA5V2,"MeeMaa ""Gramma""",5,1217548800
15540,B000255OIG,AOLDDV8Y96TSB,Debbie,5,1213142400
15541,B000255OIG,A2R8ON13MVA57,Nanci M. Shea,5,1200700800
15542,B000255OIG,A22SDYPN7DWQ97,"JD ""JD""",5,1199577600
15543,B000255OIG,A5YACGTYAZKAL,M. Haagenstad,5,1194134400
15544,B000255OIG,A1KL5NHQ6FOQ3K,"C. Kassl ""Labaroo""",5,1191974400
15545,B000255OIG,A2UUO1GEFLV9H8,Puff,5,1191715200
15546,B000255OIG,A3H1V2E2O81536,"observer ""Al""",5,1190332800
15547,B000255OIG,A14YBOI1XSJ0UP,"Flyer16 ""Flyer16""",5,1184889600
15548,B000255OIG,AE9ZBY7WW3LIQ,W. K. Ota,4,1182902400
15549,B000255OIG,A11Q5CEJES1CCM,Dover Dame,5,1178668800
15550,B000255OIG,A1U6XG3OMP5S62,B. Payne,5,1174521600
15551,B000255OIG,AI6BIBH6R1JBR,Surela,5,1279670400
15552,B000255OIG,A31PX9L81BQ6ZS,Howard B,5,1314489600
15553,B000255OIG,A479H261D2695,S. Berry,4,1239321600
15554,B000255OIG,A2WDF9UM0M1VAD,susan m. kaitz,1,1317859200
15555,B000255OIG,A1EJ7AF4H919CL,sunny,3,1278374400
15556,B000255OIG,ANW9G620WDPVE,"Kay M ""kay""",2,1237334400
15557,B000255OIG,AE9ZBY7WW3LIQ,W. K. Ota,1,1219363200
15558,B000255OIG,A2QHCF0OYJ2N33,Jackie,3,1245456000
15559,B000255OIG,A21F5EJGLBH2QL,G. Speciale,5,1189209600
15560,B000255OIG,A12OC9ZA779927,"Nancy Watts ""Nan Watts""",2,1134172800
15561,B000255OIG,A1R87YSXT4SDS4,Robert J. Ruddy,5,1139270400
15562,B000255OIG,AHFT1TU6FEFQ8,Howard S. Frierman,5,1171411200
15563,B000255OIG,AJD41FBJD9010,"N. Ferguson ""Two, Daisy, Hannah, and Kitten""",5,1233360000
15564,B000255OIG,A3D0PV8Y6577NN,D. Gilbert,3,1307491200
15565,B000255OIG,A1BMOH6U3TG99J,TTO,3,1333584000
15566,B000255OIG,A184K5PFSEL337,J. Yu,5,1279670400
15567,B000255OIG,A2YYTZDZD7V7MX,Edeltraud E. Daley,5,1263686400
15568,B000255OIG,A3RPJGRMYTU59U,Joseph J. Rinaldi,5,1347235200
15569,B000255OIG,A34BRSDS9MJXTZ,P. Neely,4,1327881600
15570,B000255OIG,ABEIRM40JQHHN,JAH,5,1312156800
15571,B000255OIG,A1E0TDGRVZKCWK,EskimoDog,5,1309910400
15572,B000255OIG,A2EDWI5EGP4V9N,sharkychick,4,1290988800
15573,B000255OIG,A143HKSYU2FQP0,Diane Mathis,4,1271808000
15574,B000255OIG,A21D27EKHICKY3,C. Mayer,5,1262822400
15575,B000255OIG,A2EMJYWOXVQGIN,"K. Rainey ""Kathy R""",5,1257552000
15576,B000255OIG,A16J84BXTPH30,"J. Guyette ""Cranky J""",5,1256947200
15577,B000255OIG,A2EIKJ2XFU6J9T,Wayne in Indy,4,1250380800
15578,B000255OIG,AIBHCBMBC8Z66,hazmat,5,1346112000
15579,B000255OIG,A3TFIDKZC95ZK7,Norge,5,1336953600
15580,B000255OIG,A129LFK27JMYB3,"Sandy ""Sandy""",5,1334880000
15581,B000255OIG,A263978BIOCRZV,Dan Detwiler,4,1316736000
15582,B000255OIG,A2RZCYP0F964WQ,Kermit,5,1292630400
